,precision,recall,f1-score,support
C#N,0.0,0.0,0.0,3.0
C(=NC1CCCCC1)=NC1CCCCC1,0.967741935483871,0.18292682926829268,0.3076923076923077,164.0
C1CC1,0.0,0.0,0.0,4.0
C1CCC2=NCCCN2CC1,0.8611111111111112,0.22627737226277372,0.3583815028901734,137.0
C1CCCCC1,0.0,0.0,0.0,21.0
C1CCNC1,1.0,0.03333333333333333,0.06451612903225806,30.0
C1CCNCC1,0.8695652173913043,0.20833333333333334,0.3361344537815126,96.0
C1CN2CCN1CC2,1.0,0.07272727272727272,0.13559322033898305,55.0
C1CN=C2NCCCN2C1,0.0,0.0,0.0,3.0
C1CNCCN1,0.0,0.0,0.0,7.0
C1CO1,0.0,0.0,0.0,6.0
C1COCCN1,0.0,0.0,0.0,15.0
C1N2CN3CN1CN(C2)C3,0.0,0.0,0.0,7.0
C=C,0.0,0.0,0.0,7.0
C=C(C)C,0.0,0.0,0.0,4.0
C=C(C)C=O,1.0,0.5,0.6666666666666666,4.0
C=CC#N,0.0,0.0,0.0,3.0
C=CC(=O)O,0.0,0.0,0.0,3.0
C=CC(=O)OC,0.0,0.0,0.0,3.0
C=CC=O,0.0,0.0,0.0,4.0
C=CCOC(=O)c1c(C)cccc1[N+](=O)[O-],0.0,0.0,0.0,4.0
C=O,1.0,0.06153846153846154,0.11594202898550725,65.0
C=[N+]=[N-],0.0,0.0,0.0,10.0
CC(=O)CC(C)C,0.0,0.0,0.0,6.0
CC(=O)Cl,0.0,0.0,0.0,28.0
CC(=O)N(C)C,0.0,0.0,0.0,29.0
CC(=O)N[C@@H](CSC(=O)C(C)C)C(=O)NCCSC(C)=O,1.0,0.75,0.8571428571428571,4.0
CC(=O)OC(C)=O,1.0,0.04310344827586207,0.08264462809917356,116.0
CC(=O)Oc1c(C)c(C)c2c(c1C)CCC(C)(C(=S)Nc1ccccc1)O2,1.0,1.0,1.0,4.0
CC(C)(C#N)N=NC(C)(C)C#N,0.0,0.0,0.0,13.0
CC(C)(C)C(=O)Cl,0.0,0.0,0.0,4.0
CC(C)(C)OC(=O)N=NC(=O)OC(C)(C)C,0.0,0.0,0.0,3.0
CC(C)(C)OC(=O)N[C@@H]1CCN(Cc2ccc(C(=O)O)cc2C(F)(F)F)C1,0.0,0.0,0.0,5.0
CC(C)(C)OC(=O)N[C@H](COc1ccc(F)cc1F)C(=O)O,1.0,0.5,0.6666666666666666,6.0
CC(C)(C)OC(=O)O/N=C(\C#N)c1ccccc1,0.0,0.0,0.0,3.0
CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,0.6,0.13636363636363635,0.22222222222222218,22.0
CC(C)(C)OC(=O)ON=C(C#N)c1ccccc1,0.0,0.0,0.0,5.0
CC(C)(C)OC(N)=O,1.0,0.2,0.33333333333333337,5.0
CC(C)(C)OCl,0.0,0.0,0.0,13.0
CC(C)(C)ON=O,0.0,0.0,0.0,8.0
CC(C)(C)OO,0.0,0.0,0.0,6.0
CC(C)(C)c1nc(N2CCOCC2)c2nnn(Cc3ccccc3Cl)c2n1,0.9333333333333333,1.0,0.9655172413793104,14.0
CC(C)(O)C#N,0.0,0.0,0.0,3.0
CC(C)=C(Cl)N(C)C,0.0,0.0,0.0,4.0
CC(C)=C(Cl)N(C)Cc1ccc(C)cc1,0.0,0.0,0.0,4.0
CC(C)CCON=O,0.0,0.0,0.0,5.0
CC(C)CO,0.0,0.0,0.0,3.0
CC(C)COC(=O)Cl,0.0,0.0,0.0,14.0
CC(C)N,0.0,0.0,0.0,8.0
CC(C)N=C=NC(C)C,0.0,0.0,0.0,13.0
CC(C)NC(C)C,0.0,0.0,0.0,12.0
CC(C)OC(=O)/N=N/C(=O)OC(C)C,0.5,0.1111111111111111,0.1818181818181818,9.0
CC(C)OC(=O)N=NC(=O)OC(C)C,0.0,0.0,0.0,3.0
CC(C)OC(C)C,0.0,0.0,0.0,26.0
CC(Cl)Cl,0.0,0.0,0.0,9.0
CC(Cl)OC(=O)Cl,0.0,0.0,0.0,19.0
CC1(C)C(=O)N(Cl)C(=O)N1Cl,0.0,0.0,0.0,4.0
CC1(C)C2CCC1(CS(=O)(=O)O)C(=O)C2,0.0,0.0,0.0,22.0
CC1CCCO1,0.0,0.0,0.0,3.0
CC1CN(c2ncnc3c(S(=O)(=O)c4ccccc4)c(N)[nH]c23)CCO1,1.0,0.6,0.7499999999999999,5.0
CC1Cn2c(cc(OCc3ccc(Oc4cc(F)cc(C(F)(F)F)c4)c(C#N)c3)nc2=O)N1C,0.36363636363636365,0.5714285714285714,0.4444444444444444,7.0
CC=O,0.0,0.0,0.0,4.0
CCC(=O)O,0.0,0.0,0.0,6.0
CCC(C)(C)C(=O)N1CC1c1ccccc1,0.0,0.0,0.0,4.0
CCC=O,0.0,0.0,0.0,6.0
CCCCC,1.0,0.07142857142857142,0.13333333333333333,14.0
CCCCCCC,1.0,0.08064516129032258,0.1492537313432836,62.0
CCCCN,0.0,0.0,0.0,7.0
CCCCN(CCCC)CCCC,0.0,0.0,0.0,3.0
CCCCN1C(=O)C(O)(CC(=O)c2ccccn2)c2ccccc21,0.0,0.0,0.0,3.0
CCCCP(=CC#N)(CCCC)CCCC,0.0,0.0,0.0,10.0
CCCCP(CCCC)CCCC,0.0,0.0,0.0,8.0
CCCO,0.0,0.0,0.0,8.0
CCCP1(=O)OP(=O)(CCC)OP(=O)(CCC)O1,1.0,0.25,0.4,24.0
CCN,0.0,0.0,0.0,5.0
CCN(C(C)C)C(C)C,0.5846645367412141,0.31443298969072164,0.40893854748603353,582.0
CCN(CC)CC,0.2499551408577068,0.8386514148103552,0.38512579485761683,1661.0
CCN(CC)S(F)(F)F,1.0,0.02702702702702703,0.052631578947368425,37.0
CCN(CC)c1ccccc1,0.0,0.0,0.0,8.0
CCN=C=NCCCN(C)C,1.0,0.017857142857142856,0.03508771929824561,56.0
CCNC(=O)c1c(NC(=O)C2C(C)(C)C2(C)C)sc2c1CCCC2,1.0,0.75,0.8571428571428571,4.0
