,precision,recall,f1-score,support
CCNCC,0.0,0.0,0.0,16.0
CCNCc1noc([C@H](CCCC2CCCCC2)CC(=O)O)n1,0.75,0.75,0.75,4.0
CCOC(=O)/N=N/C(=O)OCC,0.0,0.0,0.0,6.0
CCOC(=O)C(=O)c1csc(NC(=O)Nc2ccccc2)n1,0.0,0.0,0.0,4.0
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1,0.0,0.0,0.0,3.0
CCOC(=O)C1CC12CCCCC2,0.0,0.0,0.0,3.0
CCOC(=O)CC(C)=O,0.0,0.0,0.0,4.0
CCOC(=O)Cl,0.0,0.0,0.0,15.0
CCOC(=O)N1C(=O)c2ccccc2C1=O,0.0,0.0,0.0,6.0
CCOC(=O)N1c2ccccc2C=CC1OCC,0.0,0.0,0.0,13.0
CCOC(=O)N=NC(=O)OCC,0.0,0.0,0.0,6.0
CCOC(=O)c1sc(N2CCN(Cc3ccc(C(F)(F)F)cc3)C2=O)cc1C,0.0,0.0,0.0,3.0
CCOC(=O)c1sc(N2CCN(c3ccccc3)C2=O)nc1C,0.0,0.0,0.0,5.0
CCOC(OCC)OCC,0.0,0.0,0.0,8.0
CCOC=O,0.0,0.0,0.0,5.0
CCOCC,0.96875,0.08516483516483517,0.15656565656565657,364.0
CCOP(=O)(C#N)OCC,0.0,0.0,0.0,11.0
CCO[C@@H](Cc1ccc(O[C@H](C)C(=O)NCCc2ccc(Oc3ccccc3)cc2)cc1)C(=O)O,0.8333333333333334,0.35714285714285715,0.5,14.0
CCS(=O)(=O)c1ccc(C#N)cc1C,0.0,0.0,0.0,4.0
CC[N+](CC)(CC)S(=O)(=O)N=C([O-])OC,0.0,0.0,0.0,10.0
CCc1nc(C)ccc1OCC(=O)O,0.0,0.0,0.0,5.0
CCl,0.0,0.0,0.0,3.0
CCn1c(C(C)(C)Oc2ccc(Cl)cc2F)nc2cc(N)ccc21,0.0,0.0,0.0,3.0
CN,1.0,0.02857142857142857,0.05555555555555556,35.0
CN(C)C,0.0,0.0,0.0,5.0
CN(C)C(=N)N(C)C,0.0,0.0,0.0,5.0
CN(C)C(=O)N=NC(=O)N(C)C,0.0,0.0,0.0,4.0
CN(C)C(OC(C)(C)C)N(C)C,0.0,0.0,0.0,6.0
CN(C)C(OC(C)(C)C)OC(C)(C)C,0.0,0.0,0.0,6.0
CN(C)CCN,0.0,0.0,0.0,5.0
CN(C)CCN(C)C,0.0,0.0,0.0,3.0
CN(C)c1cc(C(=O)N2CCCC(c3ccccc3F)C2)ccn1,0.0,0.0,0.0,5.0
CN(C)c1cccc2cccc(N(C)C)c12,0.0,0.0,0.0,9.0
CN(C)c1ccccc1,0.0,0.0,0.0,18.0
CN(C)c1ccncc1,0.6188340807174888,0.350253807106599,0.4473257698541329,788.0
CN(Cc1cc(F)cc(F)c1F)C(=O)C1(C)CCCCC1,0.0,0.0,0.0,3.0
CN(Cc1noc([C@H](CCCC2CCCCC2)CC(=O)O)n1)S(C)(=O)=O,1.0,0.3333333333333333,0.5,3.0
CN1CCCC1,1.0,0.25,0.4,4.0
CN1CCCn2c1cc(OCc1ccc(Oc3ccc(C(F)(F)F)cn3)c(C#N)c1)nc2=O,1.0,0.8888888888888888,0.9411764705882353,9.0
CN1CCNCC1,0.0,0.0,0.0,4.0
CN1CCOCC1,0.9230769230769231,0.2222222222222222,0.35820895522388063,54.0
CNC,0.0,0.0,0.0,16.0
CNC(=O)CC(c1ccccc1)c1cccc2cc[nH]c12,0.0,0.0,0.0,4.0
CNCCC(c1ccccc1)c1cccc2cc[nH]c12,0.0,0.0,0.0,4.0
CNN,0.0,0.0,0.0,8.0
CNc1ccc(Cl)cc1,1.0,1.0,1.0,6.0
COC(=O)Cl,0.0,0.0,0.0,4.0
COC(=O)c1ccc2[nH]ccc2c1Cl,0.0,0.0,0.0,4.0
COC(OC)N(C)C,0.7272727272727273,0.34782608695652173,0.4705882352941176,46.0
COC(OC)OC,0.0,0.0,0.0,8.0
COCCN(CCOC)S(F)(F)F,0.0,0.0,0.0,5.0
COCCO,0.0,0.0,0.0,5.0
COCO[C@H]1CCN([C@@H](CO)c2ccccc2)C1,0.0,0.0,0.0,3.0
CON(Cc1ccccc1)C(=O)C=C1OC(C)(C)OC1=O,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
COS(=O)(=O)OC,0.0,0.0,0.0,6.0
COc1cc(F)ccc1N1CCNCC1,1.0,1.0,1.0,3.0
COc1cc2c(cc1C)C1(CO2)C(=O)N(C(c2ccccc2)c2ccccc2)c2ccccc21,1.0,0.6666666666666666,0.8,3.0
COc1ccc(COc2ccc(Sc3ccc(O)cc3)c(N)c2)cc1,1.0,1.0,1.0,3.0
COc1ccc(N2CCN(CCc3ccccc3)CC2)cc1,0.0,0.0,0.0,3.0
COc1ccc(O)cc1,0.0,0.0,0.0,4.0
COc1ccc(P2(=S)SP(=S)(c3ccc(OC)cc3)S2)cc1,0.0,0.0,0.0,5.0
COc1cccc(CNC(=O)c2cccc3[nH]ccc23)c1,0.0,0.0,0.0,4.0
COc1ccccc1,0.0,0.0,0.0,8.0
COc1ccccc1N,0.0,0.0,0.0,3.0
CP(C)C,1.0,0.16666666666666666,0.2857142857142857,6.0
CS(=O)(=O)Cl,0.0,0.0,0.0,24.0
CS(=O)(=O)O,1.0,0.02040816326530612,0.039999999999999994,49.0
CS(=O)(=O)OS(C)(=O)=O,0.0,0.0,0.0,20.0
CS(=O)(=O)c1ccc(N2CCCC2)c(C(=O)O)c1,0.0,0.0,0.0,4.0
CS(C)(=O)=O,0.0,0.0,0.0,16.0
CSC,0.0,0.0,0.0,13.0
C[C@@H](N)c1ccccc1,0.0,0.0,0.0,3.0
C[C@H]1Cn2c(cc(OCc3ccc(F)c(F)c3)nc2=O)N1,0.875,0.4375,0.5833333333333334,16.0
C[N+]1([O-])CCOCC1,0.0,0.0,0.0,9.0
Cc1cc(C(=O)O)c(Cl)c2cc[nH]c12,0.0,0.0,0.0,3.0
Cc1cc(C(=O)O)cnc1OCC(F)(F)F,0.0,0.0,0.0,4.0
Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,0.0,0.0,0.0,4.0
Cc1cc(C(C)(C)C)nc(C(C)(C)C)c1,0.0,0.0,0.0,7.0
Cc1cc(C(C)N2Cc3c(ccnc3C(=O)Oc3ccccc3)C2=O)cnc1OCC(F)(F)F,0.0,0.0,0.0,5.0
Cc1cc(C)nc(C)c1,0.0,0.0,0.0,4.0
Cc1cc(N2CCN(CCOc3ccccc3)C2=O)sc1C(=O)O,1.0,0.6,0.7499999999999999,5.0
Cc1ccc(C(=O)NCCO)cc1C(=O)c1ccc(Nc2ccc(Cl)cc2F)cc1Cl,0.0,0.0,0.0,4.0
Cc1ccc(OCC(=O)Cl)cc1,0.0,0.0,0.0,3.0
Cc1ccc(S(=O)(=O)Cl)cc1,0.0,0.0,0.0,29.0
Cc1ccc(S(=O)(=O)NN)cc1,0.0,0.0,0.0,3.0
Cc1ccc(S(=O)(=O)O)cc1,0.5503597122302158,0.4112903225806452,0.47076923076923083,744.0
Cc1cccc(C)n1,0.0,0.0,0.0,9.0
Cc1nc(N2CCN(Cc3ccccc3)C2=O)sc1C(=O)O,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
Cc1nn(C)c(C)c1S(=O)(=O)N1CCC(Oc2ccc(Cl)c(Cl)c2)CC1,1.0,1.0,1.0,18.0
Cl,0.2399417440378664,0.7553008595988538,0.36418900248687486,1745.0
ClCCl,0.6607929515418502,0.13863216266173753,0.2291825821237586,1082.0
ClCc1ccccc1,0.0,0.0,0.0,3.0
ClCl,1.0,0.10416666666666667,0.18867924528301885,48.0
ClP(Cl)(Cl)(Cl)Cl,1.0,0.0625,0.11764705882352941,64.0
ClP(Cl)Cl,0.0,0.0,0.0,13.0
Clc1ccccc1Cl,0.0,0.0,0.0,8.0
Clc1nc(Cl)nc(Cl)n1,1.0,0.06666666666666667,0.125,15.0
Clc1nccc2nc(OCc3ncco3)cnc12,0.0,0.0,0.0,4.0
Cn1cc(Oc2c(F)cc(COc3cc4n(c(=O)n3)CC3CCCN43)cc2F)cn1,0.8333333333333334,1.0,0.9090909090909091,10.0
F,1.0,0.0625,0.11764705882352941,16.0
FF,0.0,0.0,0.0,6.0
N,1.0,0.034722222222222224,0.06711409395973154,144.0
N#CC1=C(C#N)C(=O)C(Cl)=C(Cl)C1=O,1.0,0.02127659574468085,0.04166666666666667,47.0
N#CCC#N,1.0,0.6666666666666666,0.8,3.0
N#Cc1cc(C=O)ccc1Oc1cccc(C(F)(F)F)c1,0.6,0.42857142857142855,0.5,7.0
N#Cc1cc(CO)ccc1Oc1cccc(C(F)(F)F)c1,1.0,0.14285714285714285,0.25,7.0
N#Cc1ccccc1N1CCNCC1,1.0,0.5,0.6666666666666666,4.0
N#N,1.0,0.11904761904761904,0.21276595744680848,42.0
N=C=N,0.0,0.0,0.0,5.0
N=CN,1.0,0.14285714285714285,0.25,7.0
NC(CO)(CO)CO,0.0,0.0,0.0,4.0
NC(N)=O,0.0,0.0,0.0,14.0
NC(N)=S,1.0,0.1111111111111111,0.19999999999999998,9.0
NC1CCCCC1,0.0,0.0,0.0,3.0
NC=O,0.0,0.0,0.0,6.0
NCC(=O)O,0.0,0.0,0.0,3.0
NCC1CCCc2cc(N3CCCC3=O)ccc21,0.0,0.0,0.0,4.0
NCCC(=O)O,0.0,0.0,0.0,10.0
NCCN,0.0,0.0,0.0,6.0
NCCO,0.0,0.0,0.0,9.0
NCc1ccccc1,0.0,0.0,0.0,17.0
NN,0.7934782608695652,0.5104895104895105,0.6212765957446809,143.0
NO,0.0,0.0,0.0,14.0
NS(=O)(=O)Cc1cccc(Nc2ncnc(N3CCOCC3)n2)c1,1.0,0.6666666666666666,0.8,3.0
NS(=O)(=O)c1cc(C(=O)O)cc([N+](=O)[O-])c1Nc1ccccc1,0.0,0.0,0.0,3.0
Nc1c(C(=O)O)cc(C(F)(F)F)c(C=O)c1Cl,0.0,0.0,0.0,4.0
Nc1ccccc1,0.0,0.0,0.0,11.0
Nc1ccccc1S,0.0,0.0,0.0,5.0
Nc1ccccn1,0.0,0.0,0.0,3.0
O=C(Cl)C(=O)Cl,0.9285714285714286,0.08441558441558442,0.15476190476190477,154.0
O=C(Cl)CCl,0.0,0.0,0.0,5.0
O=C(Cl)Cl,0.0,0.0,0.0,21.0
O=C(Cl)OC(Cl)(Cl)Cl,0.0,0.0,0.0,5.0
O=C(Cl)c1ccccc1,0.0,0.0,0.0,7.0
O=C(Cl)c1ccccc1F,0.0,0.0,0.0,4.0
O=C(Cl)c1ccco1,1.0,1.0,1.0,4.0
O=C(N=NC(=O)N1CCCCC1)N1CCCCC1,0.0,0.0,0.0,21.0
O=C(O)/C=C/C(=O)O,0.0,0.0,0.0,4.0
O=C(O)C(=O)O,0.0,0.0,0.0,15.0
O=C(O)C(Cl)(Cl)Cl,0.0,0.0,0.0,3.0
O=C(O)C(F)(F)F,0.9375,0.1308139534883721,0.22959183673469388,344.0
O=C(O)CC(O)(CC(=O)O)C(=O)O,0.0,0.0,0.0,20.0
O=C(O)Cc1cccc2cnccc12,0.0,0.0,0.0,5.0
O=C(O)[C@@H]1CCCN1,1.0,0.047619047619047616,0.0909090909090909,21.0
O=C(O)[C@H](O)[C@@H](O)C(=O)O,1.0,0.14285714285714285,0.25,7.0
O=C(O)c1ccc(NC(=O)c2cc(Cl)c(OC3CCCC3)c(Cl)c2)cc1,0.0,0.0,0.0,3.0
O=C(O)c1cccc(Cl)c1,0.0,0.0,0.0,4.0
O=C(O)c1ccccc1,0.0,0.0,0.0,8.0
O=C(OC(=O)C(F)(F)F)C(F)(F)F,0.0,0.0,0.0,25.0
O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl,0.0,0.0,0.0,10.0
O=C(OO)c1cccc(Cl)c1,1.0,0.05555555555555555,0.10526315789473684,36.0
O=C(OOC(=O)c1ccccc1)c1ccccc1,0.0,0.0,0.0,15.0
O=C(c1ncc[nH]1)c1ncc[nH]1,0.0,0.0,0.0,22.0
O=C(n1ccnc1)n1ccnc1,0.74,0.125,0.2138728323699422,296.0
O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl,0.0,0.0,0.0,4.0
O=C1CCC(=O)N1Cl,0.0,0.0,0.0,25.0
O=C1CCC(=O)N1O,0.0,0.0,0.0,7.0
O=C1CCC(=O)O1,0.0,0.0,0.0,3.0
O=C1CC[C@@H](C(=O)O)N1,0.0,0.0,0.0,6.0
O=C1N(CCC2CC2)c2ccccc2C1(CO)c1cc2c(cc1O)OCO2,1.0,0.2,0.33333333333333337,5.0
O=C1N(CCC2CC2)c2ccccc2C1(O)c1cc2c(cc1O)OCO2,0.0,0.0,0.0,5.0
O=C1NC(=O)c2ccccc21,0.0,0.0,0.0,4.0
O=C1OCCN1P(=O)(Cl)N1CCOC1=O,0.0,0.0,0.0,14.0
O=C=NS(=O)(=O)Cl,0.0,0.0,0.0,6.0
O=C=O,0.0,0.0,0.0,44.0
O=CO,1.0,0.03076923076923077,0.059701492537313446,65.0
O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0.0,0.0,0.0,6.0
O=Cc1ccc(Oc2ccc(Cl)c(C(F)(F)F)c2)cc1Cl,0.0,0.0,0.0,3.0
O=Cc1ccc(Oc2cccc(C(F)(F)F)c2)cc1,0.0,0.0,0.0,4.0
O=Cc1ccccc1,0.0,0.0,0.0,8.0
O=O,0.4,0.05714285714285714,0.09999999999999999,35.0
O=P(Cl)(Cl)Cl,0.9090909090909091,0.18867924528301888,0.3125,159.0
O=P(O)(O)O,0.8333333333333334,0.08928571428571429,0.16129032258064516,112.0
O=P12OP3(=O)OP(=O)(O1)OP(=O)(O2)O3,0.8,0.08,0.14545454545454545,50.0
O=S(=O)(Cl)Cl,0.0,0.0,0.0,27.0
O=S(=O)(Cl)c1ccccc1,0.0,0.0,0.0,4.0
O=S(=O)(N(c1ccccc1)S(=O)(=O)C(F)(F)F)C(F)(F)F,0.75,0.21428571428571427,0.3333333333333333,14.0
O=S(=O)(O)C(F)(F)F,0.0,0.0,0.0,14.0
O=S(=O)(O)CCS,0.0,0.0,0.0,4.0
O=S(=O)(O)O,0.5,0.24175824175824176,0.3259259259259259,455.0
O=S(=O)(OS(=O)(=O)C(F)(F)F)C(F)(F)F,0.0,0.0,0.0,8.0
O=S(Cl)Cl,0.43137254901960786,0.09205020920502092,0.15172413793103448,239.0
O=[N+]([O-])O,1.0,0.2727272727272727,0.42857142857142855,22.0
O=[N+]([O-])c1ccccc1,0.0,0.0,0.0,7.0
O=[O+][O-],0.0,0.0,0.0,36.0
O=c1ccccn1C(=S)n1ccccc1=O,1.0,0.125,0.2222222222222222,8.0
O=c1nc(OCc2cc(F)c(Oc3ccnc(C(F)(F)F)c3)c(F)c2)cc2n1C[C@H]1COCN21,1.0,0.8333333333333334,0.9090909090909091,6.0
OC(C(F)(F)F)C(F)(F)F,0.0,0.0,0.0,4.0
OC[C@@H](c1ccccc1)N1CC[C@H](OC2CCCCO2)C1,0.5,0.3333333333333333,0.4,3.0
OCc1ccc(Oc2ccc(Cl)c(C(F)(F)F)c2)cc1Cl,0.0,0.0,0.0,4.0
OCc1ccc(Oc2cccc(C(F)(F)F)c2)cc1,0.5,0.16666666666666666,0.25,6.0
OCc1cnc(OCC(F)(F)F)c(Cl)c1,0.0,0.0,0.0,4.0
OO,0.0,0.0,0.0,29.0
Oc1ccc(O)cc1,1.0,0.058823529411764705,0.1111111111111111,17.0
Oc1ccc2c(c1)C(O)CC(c1ccccc1)O2,1.0,0.8,0.888888888888889,5.0
Oc1cccc(Nc2ncc(F)c(Nc3ccc4c(c3)OCCO4)n2)c1,0.0,0.0,0.0,7.0
Oc1ccccc1,0.0,0.0,0.0,17.0
On1nnc2ccccc21,0.6909090909090909,0.17040358744394618,0.27338129496402874,223.0
On1nnc2cccnc21,0.0,0.0,0.0,34.0
S=C(Oc1ccccn1)Oc1ccccn1,0.0,0.0,0.0,4.0
S=C(n1ccnc1)n1ccnc1,1.0,0.25,0.4,16.0
S=P12SP3(=S)SP(=S)(S1)SP(=S)(S2)S3,0.0,0.0,0.0,4.0
[C-]#[O+],1.0,0.1111111111111111,0.19999999999999998,9.0
[H][H],0.6333333333333333,0.18181818181818182,0.28252788104089216,209.0
[N-]=[N+]1C2=C3CCCCCC31CCC2,0.0,0.0,0.0,5.0
[N-]=[N+]=NP(=O)(Oc1ccccc1)Oc1ccccc1,0.0,0.0,0.0,6.0
[N-]=[N+]=NP(=O)(c1ccccc1)c1ccccc1,0.0,0.0,0.0,25.0
c1c[nH]cn1,0.0,0.0,0.0,20.0
c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,0.0,0.0,0.0,6.0
c1ccc(Oc2ccccc2)cc1,0.0,0.0,0.0,8.0
c1ccc(P(c2ccccc2)c2ccccc2)cc1,0.7781818181818182,0.452431289640592,0.572192513368984,473.0
c1ccc2[nH]ccc2c1,0.0,0.0,0.0,4.0
c1ccc2c(c1)Nc1ccccc1S2,0.0,0.0,0.0,4.0
c1ccc2ncccc2c1,0.0,0.0,0.0,5.0
c1ccncc1,0.673469387755102,0.06191369606003752,0.1134020618556701,533.0
accuracy,0.33288053192249945,0.33288053192249945,0.33288053192249945,0.33288053192249945
macro avg,0.2763849410647393,0.10730275196628136,0.1289770972282951,13987.0
weighted avg,0.5276182329879678,0.33288053192249945,0.2832831892581841,13987.0
