,precision,recall,f1-score,support
C#N,0.0,0.0,0.0,4.0
C(=NC1CCCCC1)=NC1CCCCC1,0.8717948717948718,0.20606060606060606,0.33333333333333337,165.0
C1CC1,0.0,0.0,0.0,4.0
C1CCC2=NCCCN2CC1,0.8529411764705882,0.21014492753623187,0.33720930232558144,138.0
C1CCCCC1,0.0,0.0,0.0,22.0
C1CCNC1,1.0,0.03333333333333333,0.06451612903225806,30.0
C1CCNCC1,0.7647058823529411,0.13541666666666666,0.2300884955752212,96.0
C1CN2CCN1CC2,1.0,0.07272727272727272,0.13559322033898305,55.0
C1CN=C2NCCCN2C1,0.0,0.0,0.0,3.0
C1CNCCN1,0.0,0.0,0.0,7.0
C1CO1,0.0,0.0,0.0,6.0
C1COCCN1,0.0,0.0,0.0,15.0
C1N2CN3CN1CN(C2)C3,0.0,0.0,0.0,7.0
C=C,0.0,0.0,0.0,6.0
C=C(C)C,0.0,0.0,0.0,3.0
C=C(C)C=O,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
C=CC#N,0.0,0.0,0.0,3.0
C=CC(=O)O,0.0,0.0,0.0,4.0
C=CC(=O)OC,0.0,0.0,0.0,3.0
C=CC=O,0.0,0.0,0.0,5.0
C=CCOC(=O)c1c(C)cccc1[N+](=O)[O-],0.0,0.0,0.0,3.0
C=O,1.0,0.046875,0.08955223880597014,64.0
C=[N+]=[N-],0.0,0.0,0.0,10.0
CC(=O)CC(C)C,0.0,0.0,0.0,6.0
CC(=O)Cl,0.0,0.0,0.0,29.0
CC(=O)N(C)C,0.0,0.0,0.0,29.0
CC(=O)N[C@@H](CSC(=O)C(C)C)C(=O)NCCSC(C)=O,1.0,1.0,1.0,3.0
CC(=O)OC(C)=O,1.0,0.07692307692307693,0.14285714285714288,117.0
CC(=O)Oc1c(C)c(C)c2c(c1C)CCC(C)(C(=S)Nc1ccccc1)O2,1.0,0.6,0.7499999999999999,5.0
CC(C)(C#N)N=NC(C)(C)C#N,0.0,0.0,0.0,14.0
CC(C)(C)C(=O)Cl,0.0,0.0,0.0,4.0
CC(C)(C)OC(=O)N=NC(=O)OC(C)(C)C,0.0,0.0,0.0,3.0
CC(C)(C)OC(=O)N[C@@H]1CCN(Cc2ccc(C(=O)O)cc2C(F)(F)F)C1,0.0,0.0,0.0,5.0
CC(C)(C)OC(=O)N[C@H](COc1ccc(F)cc1F)C(=O)O,1.0,0.6666666666666666,0.8,6.0
CC(C)(C)OC(=O)O/N=C(\C#N)c1ccccc1,0.0,0.0,0.0,3.0
CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,0.5714285714285714,0.17391304347826086,0.26666666666666666,23.0
CC(C)(C)OC(=O)ON=C(C#N)c1ccccc1,0.0,0.0,0.0,5.0
CC(C)(C)OC(N)=O,1.0,0.2,0.33333333333333337,5.0
CC(C)(C)OCl,0.0,0.0,0.0,12.0
CC(C)(C)ON=O,0.0,0.0,0.0,8.0
CC(C)(C)OO,0.0,0.0,0.0,7.0
CC(C)(C)c1nc(N2CCOCC2)c2nnn(Cc3ccccc3Cl)c2n1,0.9285714285714286,1.0,0.962962962962963,13.0
CC(C)(O)C#N,0.0,0.0,0.0,4.0
CC(C)=C(Cl)N(C)C,0.0,0.0,0.0,3.0
CC(C)=C(Cl)N(C)Cc1ccc(C)cc1,0.0,0.0,0.0,3.0
CC(C)CCON=O,0.0,0.0,0.0,5.0
CC(C)CO,0.0,0.0,0.0,3.0
CC(C)COC(=O)Cl,0.0,0.0,0.0,14.0
CC(C)N,0.0,0.0,0.0,7.0
CC(C)N=C=NC(C)C,0.0,0.0,0.0,13.0
CC(C)NC(C)C,0.0,0.0,0.0,11.0
CC(C)OC(=O)/N=N/C(=O)OC(C)C,1.0,0.2222222222222222,0.3636363636363636,9.0
CC(C)OC(=O)N=NC(=O)OC(C)C,0.0,0.0,0.0,3.0
CC(C)OC(C)C,0.0,0.0,0.0,26.0
CC(Cl)Cl,0.0,0.0,0.0,9.0
CC(Cl)OC(=O)Cl,1.0,0.05263157894736842,0.1,19.0
CC1(C)C(=O)N(Cl)C(=O)N1Cl,0.0,0.0,0.0,5.0
CC1(C)C2CCC1(CS(=O)(=O)O)C(=O)C2,0.5,0.047619047619047616,0.08695652173913042,21.0
CC1CCCO1,0.0,0.0,0.0,4.0
CC1CN(c2ncnc3c(S(=O)(=O)c4ccccc4)c(N)[nH]c23)CCO1,1.0,0.8333333333333334,0.9090909090909091,6.0
