FNN input,top-1,top-3,precision,F-1 score
hybrid 4000,1.4,1.0,0.9,1.5
struct 4000,1.2,1.0,0.9,1.4
DFT 4000,2.0,2.4,1.2,2.1
hybrid 2400,1.5,1.0,1.1,1.3
struct 2400,0.5,0.4,0.7,0.7
DFT 2400,2.9,3.5,1.8,3.0
hybrid 2000,0.9,0.5,0.8,0.9
struct 2000,0.8,0.4,0.7,0.7
DFT 2000,1.0,1.7,1.2,0.9
hybrid 1200,0.8,0.6,0.8,1.0
struct 1200,1.0,0.8,0.8,0.9
DFT 1200,1.4,2.0,0.9,1.3
hybrid 1000,0.6,0.9,0.6,0.7
struct 1000,0.4,0.5,0.8,0.5
DFT 1000,1.1,1.7,0.5,1.0
